"","","Wales "
"All industries ","",1346700
"All industries ","Agriculture, forestry and fishing ",36100
"","Production ",158600
"","Construction ",90000
"","Wholesale, retail, transport, hotels and food ",343100
"","Information and communication ",26400
"","Finance and insurance activities ",33200
"","Real estate activities ",17600
"","Professional, scientific and technical activities; administrative and support service activities ",143600
"","Public administration, defence, education and health ",425600
"","Other service activities ",72400


