"","","Wales "
"All industries ","",1394500
"All industries ","Agriculture, forestry and fishing ",42700
"","Production ",173300
"","Construction ",97000
"","Wholesale, retail, transport, hotels and food ",337300
"","Information and communication ",35700
"","Finance and insurance activities ",32400
"","Real estate activities ",22200
"","Professional, scientific and technical activities; administrative and support service activities ",152900
"","Public administration, defence, education and health ",427600
"","Other service activities ",73300


