"","","Wales "
"All industries ","",1408900
"All industries ","Agriculture, forestry and fishing ",43200
"","Production ",162500
"","Construction ",102700
"","Wholesale, retail, transport, hotels and food ",360200
"","Information and communication ",34400
"","Finance and insurance activities ",31000
"","Real estate activities ",22700
"","Professional, scientific and technical activities; administrative and support service activities ",161200
"","Public administration, defence, education and health ",418500
"","Other service activities ",72400


