"","","Wales "
"All industries ","",1452100
"All industries ","Agriculture, forestry and fishing ",41100
"","Production ",165700
"","Construction ",101800
"","Wholesale, retail, transport, hotels and food ",347600
"","Information and communication ",31500
"","Finance and insurance activities ",35500
"","Real estate activities ",25200
"","Professional, scientific and technical activities; administrative and support service activities ",187100
"","Public administration, defence, education and health ",434900
"","Other service activities ",81800


