"","","Wales "
"All industries ","",1330500
"All industries ","Agriculture, forestry and fishing ",38200
"","Production ",149800
"","Construction ",93200
"","Wholesale, retail, transport, hotels and food ",344500
"","Information and communication ",27900
"","Finance and insurance activities ",29800
"","Real estate activities ",14600
"","Professional, scientific and technical activities; administrative and support service activities ",145800
"","Public administration, defence, education and health ",418600
"","Other service activities ",68000


