"","","Wales "
"All industries ","",1422800
"All industries ","Agriculture, forestry and fishing ",40200
"","Production ",165100
"","Construction ",90800
"","Wholesale, retail, transport, hotels and food ",333500
"","Information and communication ",58900
"","Finance and insurance activities ",32100
"","Real estate activities ",18200
"","Professional, scientific and technical activities; administrative and support service activities ",176400
"","Public administration, defence, education and health ",424500
"","Other service activities ",83200


