"","","Wales "
"All industries ","",1403800
"All industries ","Agriculture, forestry and fishing ",40700
"","Production ",172300
"","Construction ",92600
"","Wholesale, retail, transport, hotels and food ",357700
"","Information and communication ",24000
"","Finance and insurance activities ",30800
"","Real estate activities ",19100
"","Professional, scientific and technical activities; administrative and support service activities ",166200
"","Public administration, defence, education and health ",423200
"","Other service activities ",77200


