"","","Wales "
"All industries ","",1365100
"All industries ","Agriculture, forestry and fishing ",36800
"","Production ",164200
"","Construction ",89300
"","Wholesale, retail, transport, hotels and food ",345100
"","Information and communication ",26900
"","Finance and insurance activities ",32400
"","Real estate activities ",18000
"","Professional, scientific and technical activities; administrative and support service activities ",149900
"","Public administration, defence, education and health ",427000
"","Other service activities ",75500


